datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2022-07-26,1820.63,1824.55,1794.75,1795.80,300400,1834.67,57.77,45.12,61.10
2022-07-25,1818.83,1843.99,1803.52,1834.67,339800,1809.88,96.42,48.74,67.51
2022-07-22,1853.02,1857.59,1797.04,1809.88,308500,1829.41,85.33,46.18,68.53
2022-07-21,1814.72,1831.57,1785.90,1829.41,337700,1834.80,59.93,47.93,68.73
2022-07-20,1827.25,1849.08,1806.56,1834.80,475500,1834.80,48.88,48.40,65.33
2022-07-19,1773.62,1842.47,1773.62,1834.80,447200,1738.79,83.94,48.40,57.42
2022-07-18,1744.91,1790.00,1729.15,1738.79,444400,1698.59,-49.17,39.28,49.64
2022-07-15,1709.24,1723.31,1680.43,1698.59,480300,1673.91,-69.39,34.79,49.03
2022-07-14,1691.40,1709.20,1669.34,1673.91,537200,1738.03,-75.08,31.93,49.81
2022-07-13,1692.53,1747.53,1678.01,1738.03,288700,1738.25,-72.30,35.71,48.84
2022-07-12,1732.40,1762.33,1717.03,1738.25,322700,1724.55,-100.17,35.73,47.28
2022-07-11,1737.66,1754.43,1714.00,1724.55,355300,1769.48,-171.69,34.29,50.12
2022-07-08,1763.66,1781.50,1725.60,1769.48,230700,1785.92,-161.57,36.79,57.33
2022-07-07,1783.19,1799.00,1760.81,1785.92,334700,1750.86,-49.14,37.73,54.42
2022-07-06,1793.69,1807.45,1746.13,1750.86,389400,1787.96,-138.98,34.43,54.98
2022-07-05,1711.53,1797.16,1689.46,1787.96,525600,1767.98,-149.33,36.32,47.77
2022-07-01,1743.10,1767.98,1719.75,1767.98,356300,1748.99,-138.89,34.52,39.06
2022-06-30,1752.63,1783.92,1703.05,1748.99,640700,1810.33,-97.25,32.85,33.66
2022-06-29,1823.84,1833.85,1760.00,1810.33,423000,1838.42,-162.91,35.58,34.31
2022-06-28,1921.76,1954.00,1835.33,1838.42,405200,1896.24,-113.09,36.88,39.38
2022-06-27,1939.91,1949.60,1891.01,1896.24,344500,1931.05,-83.08,39.66,40.03
2022-06-24,1867.83,1933.02,1853.33,1931.05,509200,1835.06,-173.91,41.40,39.23
2022-06-23,1871.64,1876.24,1795.01,1835.06,602000,1889.84,-442.78,33.97,38.04
2022-06-22,1896.67,1946.67,1882.23,1889.84,438700,1937.29,-455.96,36.41,46.83
2022-06-21,1949.58,1953.87,1913.38,1937.29,603200,1906.87,-389.44,38.65,52.45
2022-06-17,1851.92,1922.46,1850.51,1906.87,565500,1846.24,-440.43,36.32,43.20
2022-06-16,1902.86,1909.27,1832.30,1846.24,553100,1973.24,-489.63,31.51,41.44
2022-06-15,1992.90,2003.88,1931.61,1973.24,380300,1951.51,-399.12,36.94,48.45
2022-06-14,1983.35,1995.86,1903.02,1951.51,578600,1979.32,-287.06,35.16,48.47
2022-06-13,2006.45,2016.15,1913.43,1979.32,729600,2104.96,-264.24,36.38,50.33
2022-06-10,2199.83,2208.20,2096.53,2104.96,431500,2277.84,-161.02,42.57,60.25
2022-06-09,2330.00,2336.05,2276.23,2277.84,372500,2345.80,56.33,54.39,69.03
2022-06-08,2303.45,2355.00,2300.37,2345.80,269700,2326.73,198.58,60.52,77.15
2022-06-07,2302.03,2346.02,2300.00,2326.73,234600,2347.30,276.67,59.33,70.28
2022-06-06,2366.44,2393.31,2332.75,2347.30,206600,2335.87,240.65,61.18,76.21
2022-06-03,2317.36,2378.93,2310.90,2335.87,308700,2372.36,219.97,60.55,71.00
2022-06-02,2259.55,2383.90,2256.85,2372.36,480100,2238.57,268.96,63.64,70.76
2022-06-01,2265.00,2276.80,2197.15,2238.57,258500,2243.56,188.19,55.98,61.69
2022-05-31,2243.32,2269.00,2195.04,2243.56,505100,2265.98,96.97,56.40,63.01
2022-05-27,2263.61,2274.17,2238.50,2265.98,308600,2221.51,219.97,58.18,63.70
2022-05-26,2170.82,2252.00,2158.37,2221.51,302200,2147.22,119.62,55.59,53.88
2022-05-25,2038.07,2167.36,2038.07,2147.22,356300,2050.06,94.17,50.88,44.87
2022-05-24,2089.43,2094.74,2019.35,2050.06,339000,2106.65,-22.09,43.61,50.98
2022-05-23,2157.39,2157.39,2094.66,2106.65,296300,2115.90,61.67,47.40,47.22
2022-05-20,2127.77,2132.28,2052.85,2115.90,431000,2103.40,92.33,48.04,41.16
2022-05-19,2059.62,2142.43,2042.58,2103.40,387200,2050.38,-90.83,47.15,34.55
2022-05-18,2120.00,2134.06,2042.00,2050.38,360500,2146.59,-121.53,43.34,29.07
2022-05-17,2125.00,2161.00,2109.86,2146.59,407100,2046.01,43.26,49.33,35.10
2022-05-16,2086.11,2094.59,2033.61,2046.01,289300,2101.89,-59.92,41.48,35.75
2022-05-13,2104.30,2124.99,2072.21,2101.89,301900,2053.05,-91.03,45.08,34.98
2022-05-12,2051.44,2114.78,2001.93,2053.05,436400,2072.15,-157.26,40.92,36.10
2022-05-11,2063.60,2136.07,2011.55,2072.15,461700,2044.98,-245.65,42.08,36.57
2022-05-10,2099.82,2099.82,2013.59,2044.98,491500,2023.57,-213.97,39.82,36.30
2022-05-09,2105.35,2143.21,2020.92,2023.57,671800,2194.23,-136.39,38.06,40.73
2022-05-06,2145.14,2244.98,2082.70,2194.23,690000,2171.91,-51.81,48.60,46.96
2022-05-05,2300.00,2308.00,2156.70,2171.91,1039500,2103.33,-41.96,46.81,49.32
2022-05-04,2088.00,2109.61,1997.24,2103.33,872700,2105.93,-135.99,40.95,44.30
2022-05-03,2203.76,2205.47,2061.69,2105.93,620200,2192.92,-145.87,41.10,53.59
2022-05-02,2207.00,2224.59,2116.00,2192.92,595000,2210.31,-46.46,46.77,61.63
2022-04-29,2292.54,2315.20,2206.19,2210.31,473100,2317.80,11.00,47.99,65.61
2022-04-28,2285.81,2363.45,2259.22,2317.80,483200,2258.95,90.51,56.51,67.97
2022-04-27,2188.00,2280.07,2184.00,2258.95,463900,2159.96,-1.16,52.20,60.44
2022-04-26,2231.84,2243.27,2158.95,2159.96,443600,2246.04,-21.42,43.44,51.22
2022-04-25,2192.07,2266.66,2186.51,2246.04,420200,2213.87,76.83,50.98,51.94
2022-04-22,2226.00,2263.96,2209.82,2213.87,301800,2239.32,46.45,47.84,44.00
