datetime,open,high,low,close,volume,previous_close,mom,rsi,mfi
2021-11-22,124.86,126.82,124.02,124.38,1424342,124.99,1.41,59.89,58.44
2021-11-19,126.17,126.20,124.86,124.99,1145463,125.51,1.80,63.99,68.79
2021-11-18,125.82,125.95,124.72,125.51,773788,125.85,0.88,67.65,68.69
2021-11-17,124.54,125.99,124.33,125.85,777962,125.05,2.11,70.08,69.77
2021-11-16,124.43,125.90,124.43,125.05,1124432,124.48,1.60,67.53,70.71
2021-11-15,124.71,124.95,123.35,124.48,953013,124.60,1.05,65.59,62.66
2021-11-12,123.71,125.11,123.41,124.60,729908,123.40,3.00,66.36,69.18
2021-11-11,123.21,123.81,122.74,123.40,671720,123.11,0.12,62.21,63.51
2021-11-10,123.00,124.01,122.59,123.11,923093,122.97,-0.25,61.13,64.74
2021-11-09,123.19,123.30,121.73,122.97,1164644,123.19,0.49,60.63,65.04
2021-11-08,124.91,125.30,122.41,123.19,1039064,124.63,-0.34,61.80,71.90
2021-11-05,124.71,125.81,124.28,124.63,1149889,123.74,1.45,69.98,79.07
2021-11-04,123.29,124.25,122.78,123.74,952241,123.45,-0.03,67.51,79.20
2021-11-03,123.59,123.86,121.61,123.45,945948,123.43,1.07,66.68,80.15
2021-11-02,122.18,123.45,121.75,123.43,1424875,121.60,1.54,66.63,80.51
2021-11-01,123.28,123.28,120.93,121.60,1196621,123.28,-0.21,61.24,73.61
2021-10-29,123.21,123.85,122.63,123.28,1280279,123.36,3.17,71.02,74.59
2021-10-28,122.46,123.59,122.15,123.36,1256912,122.48,4.21,71.52,67.93
2021-10-27,123.39,123.96,121.72,122.48,1231593,123.53,3.73,69.29,67.54
2021-10-26,123.45,123.98,122.82,123.53,998833,123.18,6.07,75.88,75.37
2021-10-25,123.35,124.06,123.01,123.18,910603,123.77,5.85,75.15,76.03
2021-10-22,122.50,124.21,122.43,123.77,1197823,122.38,6.43,78.89,82.40
2021-10-21,121.77,122.51,121.25,122.38,1067893,121.89,3.71,76.31,83.28
2021-10-20,122.00,122.24,121.29,121.89,901208,121.81,3.25,75.32,84.12
2021-10-19,120.35,121.84,120.05,121.81,1401338,120.11,3.77,75.16,86.23
2021-10-18,118.81,120.21,118.18,120.11,1305904,119.15,3.28,71.60,86.31
2021-10-15,118.93,119.48,118.56,119.15,1778929,118.75,4.14,69.28,80.70
2021-10-14,118.64,119.04,118.14,118.75,1307745,117.46,3.60,68.29,75.00
2021-10-13,117.80,118.07,116.10,117.46,1146000,117.33,5.01,64.86,70.25
2021-10-12,117.08,118.46,117.05,117.33,1010582,117.34,9.48,64.51,75.17
2021-10-11,118.56,118.56,117.32,117.34,1059455,118.67,10.61,64.55,80.12
2021-10-08,119.00,119.23,118.07,118.67,1099753,118.64,9.90,70.94,84.92
2021-10-07,119.26,119.38,117.86,118.64,1397289,118.04,8.66,70.88,77.82
2021-10-06,116.34,118.16,116.05,118.04,1516820,116.83,7.73,69.71,66.49
2021-10-05,113.50,117.31,113.37,116.83,1848400,115.01,7.46,67.25,61.70
2021-10-04,114.81,116.28,114.15,115.01,2270324,115.15,6.51,63.06,55.87
2021-10-01,113.34,115.55,111.35,115.15,2182252,112.45,6.77,63.64,48.42
2021-09-30,113.99,114.65,111.10,112.45,4219622,107.85,3.67,56.45,40.86
2021-09-29,106.75,108.68,106.61,107.85,1714967,106.73,-1.52,36.60,26.62
2021-09-28,107.77,108.17,106.55,106.73,1442972,108.77,-2.98,29.32,23.75
2021-09-27,109.56,109.84,108.64,108.77,1273357,109.98,-0.89,36.39,23.95
2021-09-24,109.88,110.35,109.38,109.98,1055546,110.31,0.53,41.96,24.28
2021-09-23,109.48,110.74,109.36,110.31,1072282,109.37,0.01,43.65,24.64
