datetime,open,high,low,close,adjusted_close,volume,mom,rsi,mfi
2023-02-15,112.33,113.84,111.805,113.57,112.8892,1090710,-5.30,56.90,60.60
2023-02-14,112.65,113.68,111.74,113.11,112.4319,922993,-0.55,55.85,60.41
2023-02-13,111.53,113.03,111.22,112.84,112.1635,1010375,4.69,55.27,56.26
2023-02-10,110.75,112.62,110.66,111.96,111.2888,1572469,6.44,53.38,55.92
2023-02-09,114.73,115.11,111.78,111.89,111.2192,1208872,4.17,53.24,62.48
2023-02-08,114.0,114.16,111.91,112.99,112.3126,980190,4.78,55.78,72.44
2023-02-07,114.34,114.59,112.27,113.97,113.2868,1174250,6.22,58.07,71.15
2023-02-06,116.77,117.36,113.88,114.35,113.6645,1579448,6.00,58.94,76.17
2023-02-03,117.09,117.52,115.77,117.03,116.3284,1116938,8.20,65.36,75.71
2023-02-02,113.43,119.9,113.43,118.87,118.1574,4961078,12.14,70.25,76.30
2023-02-01,108.33,114.73,108.1,113.66,112.9786,1948501,8.15,62.97,66.28
2023-01-31,105.99,108.23,105.73,108.15,107.5017,2329158,0.86,51.28,65.08
2023-01-30,107.18,107.9,105.3,105.52,104.8874,1014196,-2.49,43.35,56.94
2023-01-27,108.32,109.57,107.635,107.72,107.0742,873809,-1.20,49.63,62.77
2023-01-26,108.59,108.76,106.32,108.21,107.5613,1014721,-2.10,51.16,63.60
2023-01-25,106.65,107.94,105.24,107.75,107.1041,922810,-2.66,49.81,57.74
2023-01-24,108.74,109.24,107.68,108.35,107.7005,875325,-0.19,51.53,63.23
2023-01-23,106.85,109.62,106.62,108.83,108.1776,1191172,-1.02,52.89,63.56
2023-01-20,106.11,107.42,105.0,106.73,106.0902,4668719,-1.45,47.23,59.39
2023-01-19,107.01,107.43,104.79,105.51,104.8775,1512499,0.59,43.57,50.41
2023-01-18,108.63,111.19,107.15,107.29,106.6468,1467479,1.11,48.09,53.07
2023-01-17,108.11,108.84,107.23,108.01,107.3625,1739195,3.03,50.04,46.22
2023-01-13,110.0,110.495,108.49,108.92,108.267,991836,5.00,52.54,53.67
2023-01-12,110.07,110.44,108.34,110.31,109.6487,1155075,5.10,56.54,52.88
2023-01-11,108.55,110.5,108.23,110.41,109.7481,1256622,6.25,56.83,60.10
2023-01-10,110.17,110.9,107.82,108.54,107.8893,1231308,2.12,52.62,50.82
2023-01-09,108.25,111.69,108.25,109.85,109.1915,1407520,2.54,56.18,51.06
2023-01-06,106.13,108.35,105.34,108.18,107.5315,1348179,1.28,52.36,37.33
2023-01-05,105.12,105.87,104.22,104.92,104.291,1407209,-2.68,43.43,28.90
2023-01-04,105.56,107.11,104.78,106.18,105.5435,1623145,-0.72,46.56,27.32
2023-01-03,104.55,105.15,103.79,104.98,104.3507,1109856,-3.03,42.92,27.76
2022-12-30,104.31,104.92,102.75,103.92,103.297,755840,-4.62,39.53,32.25
2022-12-29,104.45,106.33,104.39,105.21,104.5793,722472,-4.11,42.37,31.14
2022-12-28,106.74,106.99,104.09,104.16,103.5356,616506,-8.63,39.06,27.29
2022-12-27,107.31,107.31,106.02,106.42,105.782,777710,-6.01,44.12,25.63
2022-12-23,107.02,107.77,106.52,107.31,106.6667,568317,-5.97,46.32,24.69
2022-12-22,106.64,106.98,105.19,106.9,106.2592,1294699,-1.01,45.15,21.13
2022-12-21,108.21,108.69,106.97,107.6,106.955,963832,-0.25,46.76,21.16
2022-12-20,108.28,108.71,106.25,106.9,106.2592,1492784,-0.70,44.94,23.03
2022-12-19,108.79,109.74,106.89,108.01,107.3625,1171602,-2.18,47.32,33.37
2022-12-16,108.33,109.53,107.85,108.54,107.8893,3095171,-3.28,48.47,40.33
2022-12-15,111.66,111.98,108.91,109.32,108.6646,1540248,-6.20,50.12,41.97
2022-12-14,111.82,115.07,111.68,112.79,112.1138,2237831,-2.46,58.33,42.10
2022-12-13,116.57,116.97,111.8881,112.43,111.756,1611916,-3.63,57.66,50.38
2022-12-12,107.87,113.79,107.615,113.28,112.6009,2194327,-0.28,59.77,43.73
2022-12-09,107.8,108.81,106.46,107.91,107.2631,1417756,-3.72,48.82,49.02
2022-12-08,108.1,109.03,107.32,107.85,107.2035,924756,-4.92,48.68,55.03
2022-12-07,109.77,110.53,107.33,107.6,106.955,1893976,-6.39,48.11,52.81
2022-12-06,112.1,112.69,109.2,110.19,109.5294,1543127,-3.93,53.84,52.97
2022-12-05,115.48,115.65,111.58,111.82,111.1497,1562897,-1.73,57.87,59.01
2022-12-02,114.2,116.375,113.29,115.52,114.8275,1118334,2.75,68.72,65.16
2022-12-01,116.47,116.66,114.23,115.25,114.5591,1426267,3.66,68.32,69.74
2022-11-30,113.37,116.25,111.875,116.06,115.3642,2782656,4.24,70.86,70.37
2022-11-29,112.51,114.03,111.66,113.56,112.2132,2059624,-2.10,67.38,69.98
2022-11-28,112.56,113.49,111.35,111.63,110.3061,2010382,-0.16,64.34,70.88
2022-11-25,113.61,114.23,111.18,112.77,111.4326,1428000,0.86,67.81,77.06
2022-11-23,114.78,115.39,113.78,113.99,112.6381,1716654,5.30,71.66,81.88
2022-11-22,111.41,114.33,111.07,114.12,112.7666,1499493,9.34,72.06,78.19
2022-11-21,112.17,114.18,112.095,113.55,112.2034,4586515,9.15,71.40,78.42
2022-11-18,112.9,113.45,110.77,112.77,111.4326,1814865,17.04,70.52,74.89
2022-11-17,109.74,111.93,106.84,111.59,110.2666,2041243,16.73,69.19,74.18
2022-11-16,114.7,115.155,111.67,111.82,110.4939,1738559,16.93,69.76,81.78
2022-11-15,111.99,116.13,111.92,115.66,114.2883,1827256,22.35,80.00,89.22
2022-11-14,111.42,115.91,111.33,111.79,110.4642,1971114,12.95,76.82,88.75
2022-11-11,109.57,112.345,108.51,111.91,110.5828,1652559,14.06,77.17,88.32
2022-11-10,107.8,109.03,106.29,108.69,107.401,2165831,10.81,74.21,88.10
2022-11-09,103.9,107.84,103.4,104.78,103.5374,2621479,8.38,69.80,88.75
2022-11-08,99.18,105.7,96.42,104.4,103.1619,3267396,7.78,69.32,83.14
2022-11-07,95.11,95.74,94.02,95.73,94.5947,1532691,-0.30,54.05,75.63
2022-11-04,95.76,96.36,92.935,94.86,93.735,1520901,1.24,51.81,74.91
2022-11-03,92.78,95.85,91.84,94.89,93.7647,1052182,1.94,51.89,74.75
2022-11-02,97.72,97.75,93.21,93.31,92.2034,1690022,3.56,47.92,80.41
2022-11-01,98.35,98.96,96.84,98.84,97.6678,769316,7.83,65.50,82.69
2022-10-31,97.94,99.33,97.14,97.85,96.6896,1323964,5.09,63.26,77.20
2022-10-28,96.8,97.96,95.97,97.88,96.7192,929634,5.88,63.38,72.10
2022-10-27,97.04,97.91,96.14,96.4,95.2568,1039511,6.43,60.02,71.99
2022-10-26,96.57,98.15,95.24,96.62,95.4741,1118236,6.42,60.79,65.05
2022-10-25,93.85,96.08,93.59,96.03,94.8911,1446669,7.16,59.50,59.69
2022-10-24,93.58,94.53,92.78,93.62,92.5097,1531887,4.57,53.72,53.66
2022-10-21,90.21,93.27,89.715,92.95,91.8477,3899076,3.18,51.95,53.08
2022-10-20,90.84,91.765,89.351,89.75,88.6856,1099696,0.55,42.13,45.64
2022-10-19,92.71,93.0,90.59,91.01,89.9307,1133180,0.36,45.53,44.77
2022-10-18,94.0,94.42,92.02,92.76,91.6599,981585,1.99,50.83,43.70
2022-10-17,91.32,92.33,90.4,92.0,90.9089,1450138,0.48,48.41,45.28
2022-10-14,90.82,91.16,89.05,89.97,88.903,1357751,-0.94,41.24,45.18
2022-10-13,87.43,91.21,86.12,90.2,89.1303,1223704,1.89,41.85,37.52
2022-10-12,89.28,90.295,88.61,88.87,87.8161,1185649,-1.60,36.82,37.66
2022-10-11,89.77,90.28,88.6465,89.05,87.9939,890394,-1.00,37.22,37.21
2022-10-10,90.13,90.8,88.95,89.77,88.7054,929802,0.73,38.81,35.69
2022-10-07,89.81,90.23,88.76,89.2,88.1421,1515344,2.42,36.83,29.64
2022-10-06,90.47,92.03,89.7,90.65,89.5749,984485,2.99,39.87,37.21
2022-10-05,90.7,91.75,90.07,90.77,89.6935,907575,2.58,40.13,31.24
2022-10-04,92.09,92.525,91.12,91.52,90.4346,1327962,2.50,41.67,29.71
2022-10-03,88.68,91.64,88.54,90.91,89.8319,1372654,0.91,39.93,23.13
2022-09-30,90.55,90.96,88.22,88.31,87.2627,1438326,-4.86,31.84,17.18
2022-09-29,90.01,90.71,88.52,90.47,89.3971,1563882,-2.34,35.53,23.26
2022-09-28,89.67,91.02,89.16,90.05,88.9821,1509473,-6.94,34.16,29.21
2022-09-27,87.11,89.22,87.11,89.04,87.984,1469800,-11.38,30.86,23.14
2022-09-26,87.72,87.9,86.08,86.78,85.7508,1390244,-13.01,22.83,23.23
2022-09-23,87.47,87.69,86.36,87.66,86.6204,1184232,-16.92,23.83,22.78
2022-09-22,88.33,88.84,87.09,88.19,87.1441,1419159,-15.25,24.43,22.68
2022-09-21,90.74,91.72,89.0,89.02,87.9643,1640096,-12.40,25.35,27.90
2022-09-20,92.4,92.99,89.05,90.0,88.9327,1570386,-11.97,26.45,27.09
2022-09-19,92.26,93.42,91.77,93.17,92.0651,1378145,-7.42,30.42,27.39
2022-09-16,93.11,94.07,90.075,92.81,91.7093,4524029,-8.87,29.30,22.28
2022-09-15,100.2,101.2,96.385,96.99,95.8398,1916435,-6.82,35.43,25.33
2022-09-14,100.05,101.27,99.05,100.42,99.2291,2067188,-2.47,42.16,30.87
2022-09-13,102.6,103.12,99.35,99.79,98.6066,1765743,-3.18,40.23,32.83
2022-09-12,103.84,105.19,103.35,104.58,103.3397,1366697,0.93,52.66,39.91
2022-09-09,102.55,103.85,102.55,103.44,102.2133,1317697,-1.47,49.19,32.58
2022-09-08,101.55,102.29,100.29,101.42,100.2172,1500970,-6.42,42.22,25.40
2022-09-07,100.72,102.315,99.81,101.97,100.7607,1309224,-4.43,43.74,31.33
2022-09-06,101.34,101.78,99.35,100.59,99.3971,1657821,-5.70,38.59,24.20
2022-09-02,105.0,105.54,101.51,101.68,100.4741,1104844,-5.40,41.37,31.02
2022-09-01,102.35,104.03,102.26,103.81,102.5789,1197386,-3.38,47.57,38.77
2022-08-31,103.16,104.19,102.12,102.89,101.6698,2120597,-5.06,44.21,31.27
2022-08-30,103.7,103.94,102.58,102.97,101.7488,1121455,-3.57,44.44,40.57
2022-08-29,105.1,105.4,103.59,103.65,102.4208,1046948,-4.39,46.34,48.43
2022-08-26,108.0,108.96,104.87,104.91,103.6658,1208263,-3.56,50.02,49.44
2022-08-25,107.04,107.9,106.57,107.84,106.5611,792130,0.68,60.37,51.18
2022-08-24,106.05,107.2,105.73,106.4,105.1382,816560,-1.44,56.24,50.70
2022-08-23,106.89,107.865,106.115,106.29,105.0295,979144,-1.15,55.91,49.12
2022-08-22,105.99,107.26,105.57,107.08,105.8101,1065351,3.53,58.84,49.79
2022-08-19,107.24,107.6,106.29,107.19,105.9188,986080,4.09,59.24,46.29
2022-08-18,106.82,108.425,106.13,107.95,106.6698,764828,4.42,61.94,53.88
2022-08-17,107.21,107.66,106.26,106.54,105.2765,760009,2.99,58.69,55.84
2022-08-16,108.44,108.92,107.67,108.04,106.7587,802381,5.26,64.10,60.98
2022-08-15,107.0,108.97,106.44,108.47,107.1836,1156524,6.22,65.71,60.43
2022-08-12,108.16,108.68,106.445,107.16,105.8891,966451,0.68,63.08,53.37
2022-08-11,108.0,109.65,107.4412,107.84,106.5611,856471,1.59,65.50,54.27
2022-08-10,105.0,108.18,104.72,107.44,106.1658,1011037,2.88,64.76,48.66
2022-08-09,103.29,103.61,102.5,103.55,102.322,779448,2.98,56.34,47.72
2022-08-08,104.16,104.49,102.9,103.1,101.8773,784313,4.26,55.19,54.14
2022-08-05,103.1,104.465,102.975,103.53,102.3022,695165,4.37,56.51,59.55
2022-08-04,103.44,103.66,102.63,103.55,102.322,1252453,2.38,56.57,59.91
2022-08-03,102.75,104.83,102.51,102.78,101.5611,1186924,1.32,54.90,75.47
2022-08-02,103.11,103.6955,98.945,102.25,101.0374,2147437,0.01,53.76,70.04
